video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=a1cf4tDOAXs,/user/AlJazeeraEnglish,Al Jazeera English,Foreign fighters join Syrian Democratic Forces,25K,25K views,,2022-01-19 04:17:06.474199
/watch?v=_6r0JWCho9Y,/channel/UCeihWWGinRr5C-TPCsJX67A,Ed Nash's Military Matters,Mobile and Armoured Forces of the Syrian Democratic Forces against ISIS,15K,15K views,,2022-01-19 04:17:06.483662
/watch?v=w38Azyh-eJU,/user/france24english,FRANCE 24 English,Exclusive: On the frontline with the Syrian Democratic Forces,19K,19K views,,2022-01-19 04:17:06.489048
/watch?v=XbWbRxmHK24,/user/AFP,AFP News Agency,Syrian Democratic Forces mark two year anniversary of IS ousting from Syria | AFP,1.3K,1.3K views,,2022-01-19 04:17:06.493677
/watch?v=gaKwjvxukvg,/user/voxdotcom,Vox,How the Kurds became a key player in Syria's war,2.2M,2.2M views,,2022-01-19 04:17:06.499139
/watch?v=d-1_z9-2MMg,/channel/UCHTK-2W11Vh1V4uwofOfR4w,AP Archive,Syrian Democratic Forces advance in Raqqa,4.6K,4.6K views,,2022-01-19 04:17:06.504616
/watch?v=a1cf4tDOAXs,/user/AlJazeeraEnglish,Al Jazeera English,Foreign fighters join Syrian Democratic Forces,25K,25K views,,2022-01-19 04:17:12.505781
/watch?v=_6r0JWCho9Y,/channel/UCeihWWGinRr5C-TPCsJX67A,Ed Nash's Military Matters,Mobile and Armoured Forces of the Syrian Democratic Forces against ISIS,15K,15K views,,2022-01-19 04:17:12.512136
/watch?v=w38Azyh-eJU,/user/france24english,FRANCE 24 English,Exclusive: On the frontline with the Syrian Democratic Forces,19K,19K views,,2022-01-19 04:17:12.519558
/watch?v=XbWbRxmHK24,/user/AFP,AFP News Agency,Syrian Democratic Forces mark two year anniversary of IS ousting from Syria | AFP,1.3K,1.3K views,,2022-01-19 04:17:12.526271
/watch?v=gaKwjvxukvg,/user/voxdotcom,Vox,How the Kurds became a key player in Syria's war,2.2M,2.2M views,,2022-01-19 04:17:12.534691
/watch?v=d-1_z9-2MMg,/channel/UCHTK-2W11Vh1V4uwofOfR4w,AP Archive,Syrian Democratic Forces advance in Raqqa,4.6K,4.6K views,,2022-01-19 04:17:12.542579
/watch?v=tPZCxx0yaSs,/channel/UCyGMim0bdq_6W-ryV9WI29A,North Press Agency,Graduation ceremony of trainees within the Syrian Democratic Forces – North Press,476,476 views,,2022-01-19 04:17:12.549785
/watch?v=meCjwfnPsAQ,/user/RuptlyTV,Ruptly,Syria: 'Only problem left in Syria is SDF' – Assad *EXCLUSIVE*,11K,11K views,,2022-01-19 04:17:12.557253
/watch?v=DvEaDmGwcI0,/user/GenevaCall2,Geneva Call,Episode 3: Geneva Call trains Syrian Democratic Forces on the law of armed conflict,852,852 views,,2022-01-19 04:17:12.563766
/watch?v=v-RIQOK2Zp4,/user/YPGmedia,YPG Press Office,Syrian Democratic Forces fighters met with Iraqi military officials on the border,7.4K,7.4K views,,2022-01-19 04:17:12.570314
/watch?v=bZRnBkJQqdM,/user/AlJazeeraEnglish,Al Jazeera English,US retains military presence in northeast Syria,70K,70K views,,2022-01-19 04:17:12.577050
/watch?v=7CvXvO5GhRY,/channel/UCBU0SoyQRFlxZdxoOiHPTYw,Storyful News,Syrian Democratic Forces Advance to Western Outskirts of Manbij,1K,1K views,,2022-01-19 04:17:12.583932
/watch?v=tIJwVCW1FdQ,/user/VOAvideo,VOA News,Syrian National Army Exchanges Fire with Syrian Democratic Forces in Syrian Border Town,7.8K,7.8K views,,2022-01-19 04:17:12.590519
/watch?v=aftoBdrjm7Q,/user/france24english,FRANCE 24 English,EXCLUSIVE - On the frontline with the Syrian Democratic Forces fighting islamic state group,120K,120K views,,2022-01-19 04:17:12.602917
